date,n_polls,n_eff_polls,Fidesz_hat,Fidesz_lo80,Fidesz_hi80,TISZA_hat,TISZA_lo80,TISZA_hi80,Bal_hat,Bal_lo80,Bal_hi80,MH_hat,MH_lo80,MH_hi80,MKKP_hat,MKKP_lo80,MKKP_hi80,EM_hat,EM_lo80,EM_hi80
2021-09-16,6,4.1,48.84,46.15,51.53,,,,,,,3.04,0.45,5.63,3.15,0.56,5.74,44.97,42.28,47.66
2021-09-17,7,4.7,48.18,45.48,50.87,,,,,,,3.02,0.43,5.6,3.13,0.54,5.72,45.68,42.99,48.38
2021-09-18,7,4.7,48.18,45.48,50.87,,,,,,,3.02,0.43,5.6,3.13,0.54,5.72,45.68,42.99,48.38
2021-09-19,7,4.7,48.18,45.48,50.87,,,,,,,3.02,0.43,5.6,3.13,0.54,5.72,45.68,42.99,48.38
2021-09-20,7,4.7,48.18,45.48,50.87,,,,,,,3.02,0.43,5.6,3.13,0.54,5.72,45.68,42.99,48.38
2021-09-21,8,5.4,48.9,46.21,51.6,,,,,,,3.0,0.41,5.59,3.11,0.52,5.7,44.99,42.29,47.68
2021-09-22,8,5.4,48.9,46.21,51.6,,,,,,,3.0,0.41,5.59,3.11,0.52,5.7,44.99,42.29,47.68
2021-09-23,8,5.4,48.9,46.21,51.6,,,,,,,3.0,0.41,5.59,3.11,0.52,5.7,44.99,42.29,47.68
2021-09-24,8,5.4,48.9,46.21,51.6,,,,,,,3.0,0.41,5.59,3.11,0.52,5.7,44.99,42.29,47.68
2021-09-25,8,5.4,48.9,46.21,51.6,,,,,,,3.0,0.41,5.59,3.11,0.52,5.7,44.99,42.29,47.68
2021-09-26,8,5.4,48.9,46.21,51.6,,,,,,,3.0,0.41,5.59,3.11,0.52,5.7,44.99,42.29,47.68
2021-09-27,8,5.4,48.9,46.21,51.6,,,,,,,3.0,0.41,5.59,3.11,0.52,5.7,44.99,42.29,47.68
2021-09-28,9,5.9,49.65,46.97,52.34,,,,,,,2.99,0.4,5.58,3.1,0.51,5.69,44.26,41.57,46.94
2021-09-29,9,5.9,49.65,46.97,52.34,,,,,,,2.99,0.4,5.58,3.1,0.51,5.69,44.26,41.57,46.94
2021-09-30,9,5.9,49.65,46.97,52.34,,,,,,,2.99,0.4,5.58,3.1,0.51,5.69,44.26,41.57,46.94
2021-10-01,8,5.7,49.72,47.03,52.41,,,,,,,2.9,0.31,5.5,3.12,0.52,5.71,44.26,41.57,46.95
2021-10-02,9,6.4,47.95,45.27,50.63,,,,,,,3.48,0.87,6.09,4.15,1.54,6.77,44.41,41.73,47.09
2021-10-03,9,6.4,47.95,45.27,50.63,,,,,,,3.48,0.87,6.09,4.15,1.54,6.77,44.41,41.73,47.09
2021-10-04,9,6.4,47.95,45.27,50.63,,,,,,,3.48,0.87,6.09,4.15,1.54,6.77,44.41,41.73,47.09
2021-10-05,11,7.7,48.58,45.93,51.23,,,,,,,3.24,0.66,5.83,3.61,1.02,6.2,44.57,41.92,47.22
2021-10-06,11,7.7,48.58,45.93,51.23,,,,,,,3.24,0.66,5.83,3.61,1.02,6.2,44.57,41.92,47.22
2021-10-07,11,7.7,48.58,45.93,51.23,,,,,,,3.24,0.66,5.83,3.61,1.02,6.2,44.57,41.92,47.22
2021-10-08,11,7.7,48.58,45.93,51.23,,,,,,,3.24,0.66,5.83,3.61,1.02,6.2,44.57,41.92,47.22
2021-10-09,11,7.7,48.58,45.93,51.23,,,,,,,3.24,0.66,5.83,3.61,1.02,6.2,44.57,41.92,47.22
2021-10-10,11,7.7,48.58,45.93,51.23,,,,,,,3.24,0.66,5.83,3.61,1.02,6.2,44.57,41.92,47.22
2021-10-11,11,7.7,48.58,45.93,51.23,,,,,,,3.24,0.66,5.83,3.61,1.02,6.2,44.57,41.92,47.22
2021-10-12,12,8.4,49.4,46.76,52.04,,,,,,,3.23,0.64,5.82,3.59,1.01,6.18,43.78,41.13,46.42
2021-10-13,12,8.4,49.4,46.76,52.04,,,,,,,3.23,0.64,5.82,3.59,1.01,6.18,43.78,41.13,46.42
2021-10-14,12,8.4,49.4,46.76,52.04,,,,,,,3.23,0.64,5.82,3.59,1.01,6.18,43.78,41.13,46.42
2021-10-15,13,9.2,48.82,46.18,51.46,,,,,,,3.23,0.64,5.81,3.59,1.0,6.18,44.36,41.73,47.0
2021-10-16,13,9.2,48.82,46.18,51.46,,,,,,,3.23,0.64,5.81,3.59,1.0,6.18,44.36,41.73,47.0
2021-10-17,13,9.2,48.82,46.18,51.46,,,,,,,3.23,0.64,5.81,3.59,1.0,6.18,44.36,41.73,47.0
2021-10-18,13,9.2,48.82,46.18,51.46,,,,,,,3.23,0.64,5.81,3.59,1.0,6.18,44.36,41.73,47.0
2021-10-19,14,9.9,49.45,46.81,52.09,,,,,,,3.21,0.63,5.8,3.57,0.98,6.16,43.77,41.13,46.4
2021-10-20,14,9.9,49.45,46.81,52.09,,,,,,,3.21,0.63,5.8,3.57,0.98,6.16,43.77,41.13,46.4
2021-10-21,14,9.9,49.45,46.81,52.09,,,,,,,3.21,0.63,5.8,3.57,0.98,6.16,43.77,41.13,46.4
2021-10-22,14,9.9,49.45,46.81,52.09,,,,,,,3.21,0.63,5.8,3.57,0.98,6.16,43.77,41.13,46.4
2021-10-23,14,9.9,49.45,46.81,52.09,,,,,,,3.21,0.63,5.8,3.57,0.98,6.16,43.77,41.13,46.4
2021-10-24,14,9.9,49.45,46.81,52.09,,,,,,,3.21,0.63,5.8,3.57,0.98,6.16,43.77,41.13,46.4
2021-10-25,14,9.9,49.45,46.81,52.09,,,,,,,3.21,0.63,5.8,3.57,0.98,6.16,43.77,41.13,46.4
2021-10-26,13,9.9,50.11,47.48,52.75,,,,,,,3.22,0.63,5.81,3.55,0.96,6.14,43.12,40.48,45.76
2021-10-27,13,9.9,50.11,47.48,52.75,,,,,,,3.22,0.63,5.81,3.55,0.96,6.14,43.12,40.48,45.76
2021-10-28,13,9.9,50.11,47.48,52.75,,,,,,,3.22,0.63,5.81,3.55,0.96,6.14,43.12,40.48,45.76
2021-10-29,13,9.9,50.11,47.48,52.75,,,,,,,3.22,0.63,5.81,3.55,0.96,6.14,43.12,40.48,45.76
2021-10-30,13,9.9,50.11,47.48,52.75,,,,,,,3.22,0.63,5.81,3.55,0.96,6.14,43.12,40.48,45.76
2021-10-31,14,9.6,49.97,47.34,52.6,,,,,,,3.08,0.5,5.66,3.24,0.65,5.82,43.71,41.09,46.34
2021-11-01,14,9.6,49.97,47.34,52.6,,,,,,,3.08,0.5,5.66,3.24,0.65,5.82,43.71,41.09,46.34
2021-11-02,14,9.6,49.97,47.34,52.6,,,,,,,3.08,0.5,5.66,3.24,0.65,5.82,43.71,41.09,46.34
2021-11-03,15,10.3,50.51,47.88,53.13,,,,,,,3.07,0.49,5.65,3.23,0.64,5.81,43.2,40.57,45.82
2021-11-04,15,10.3,50.51,47.88,53.13,,,,,,,3.07,0.49,5.65,3.23,0.64,5.81,43.2,40.57,45.82
2021-11-05,15,10.3,50.51,47.88,53.13,,,,,,,3.07,0.49,5.65,3.23,0.64,5.81,43.2,40.57,45.82
2021-11-06,15,10.3,50.51,47.88,53.13,,,,,,,3.07,0.49,5.65,3.23,0.64,5.81,43.2,40.57,45.82
2021-11-07,15,10.3,50.51,47.88,53.13,,,,,,,3.07,0.49,5.65,3.23,0.64,5.81,43.2,40.57,45.82
2021-11-08,15,10.3,50.51,47.88,53.13,,,,,,,3.07,0.49,5.65,3.23,0.64,5.81,43.2,40.57,45.82
2021-11-09,16,10.7,50.98,48.36,53.61,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.73,40.11,45.36
2021-11-10,16,10.7,50.98,48.36,53.61,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.73,40.11,45.36
2021-11-11,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-12,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-13,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-14,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-15,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-16,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-17,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-18,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-19,15,10.6,51.01,48.38,53.64,,,,,,,3.06,0.48,5.65,3.22,0.64,5.8,42.71,40.08,45.33
2021-11-20,16,10.6,50.19,47.56,52.82,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.9,46.16
2021-11-21,16,10.6,50.19,47.56,52.82,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.9,46.16
2021-11-22,16,10.6,50.19,47.56,52.82,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.9,46.16
2021-11-23,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-11-24,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-11-25,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-11-26,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-11-27,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-11-28,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-11-29,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-11-30,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-12-01,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-12-02,15,10.4,50.2,47.57,52.83,,,,,,,3.06,0.48,5.64,3.22,0.63,5.8,43.53,40.89,46.16
2021-12-03,14,10.1,50.2,47.57,52.84,,,,,,,3.07,0.49,5.66,3.24,0.65,5.83,43.48,40.85,46.12
2021-12-04,14,10.1,50.2,47.57,52.84,,,,,,,3.07,0.49,5.66,3.24,0.65,5.83,43.48,40.85,46.12
2021-12-05,14,10.1,50.2,47.57,52.84,,,,,,,3.07,0.49,5.66,3.24,0.65,5.83,43.48,40.85,46.12
2021-12-06,16,8.2,47.98,45.34,50.61,,,,,,,4.04,1.45,6.63,3.98,1.39,6.57,44.0,41.36,46.63
2021-12-07,16,8.2,47.98,45.34,50.61,,,,,,,4.04,1.45,6.63,3.98,1.39,6.57,44.0,41.36,46.63
2021-12-08,16,8.2,47.98,45.34,50.61,,,,,,,4.04,1.45,6.63,3.98,1.39,6.57,44.0,41.36,46.63
2021-12-09,17,8.9,47.59,44.96,50.23,,,,,,,4.02,1.43,6.61,3.97,1.38,6.56,44.42,41.79,47.05
